hhid,housing,high,hh_inc,hh_size,expec_stockret_prior,expec_hpgrowth_prior,expec_irate_perc,expec_inflation_perc,expec_houseprice_perc,expec_hh_workincome_perc,expec_stockret_perc,expec_gdp_perc,expec_rent_perc,female,age_hh_head_18_24,age_hh_head_25_29,age_hh_head_30_34,age_hh_head_35_39,age_hh_head_40_44,age_hh_head_45_49,age_hh_head_50_54,age_hh_head_55_64,age_hh_head_65,age_children_none,inc_5000,inc_5000_8000,inc_8000_10000,inc_10000_12000,inc_12000_15000,inc_15000_20000,inc_20000_25000,inc_25000_30000,inc_30000_35000,inc_35000_40000,inc_40000_45000,inc_45000_50000,inc_50000_60000,inc_60000_70000,inc_70000_100000,inc_100000,atleast_bachelor,owner,stockowner,prior,z_conf_prior,expec_irate_perc_t01,expec_inflation_perc_t01,expec_houseprice_perc_t01,expec_hh_workincome_perc_t01,expec_stockret_perc_t01,expec_gdp_perc_t01,expec_rent_perc_t01,prior_t01,prior_squ,prior_squ_t01
04902718,0,1,23,5,5,,2,2,10,3,10,5,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,.77235729,2,2,10,3,10,5,10,5,25,25
04902726,1,1,26,2,,10,1,4,5,5,8,3.5,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,10,-.96465683,1,4,5,5,8,3.5,10,10,100,100
04902768,0,1,19,2,5,,3,2.2,10,3,10,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1.6408644,3,2.2,10,3,10,2,4,5,25,25
04902853,0,0,26,1,5,,.5,2.3,6,0,4,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,-.096149743,.5,2.3,6,0,4,2,5,5,25,25
04902988,1,0,26,3,,1,.25,2.2,2.2,3,8,6,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.6408644,.25,2.2,2.2,3,8,6,10,1,1,1
04903100,0,1,18,2,8,,2.4,2.8,5,3,10,3,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1.6408644,2.4000001,2.8,5,3,10,3,8,8,64,64
04903365,0,1,21,2,5,,0,2,30,0,1,5,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,.77235729,0,2,30,0,1,5,5,5,25,25
04903379,0,0,27,3,8,,1,2,5,4,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,.77235729,1,2,5,4,2,2,2,8,64,64
04903548,1,1,11,2,,40,2,3,6,3,3,3,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-.096149743,2,3,6,3,3,3,4,40,1600,1600
04903622,0,0,19,1,15,,1.6,3,7,6,2,4,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,15,1.6408644,1.6,3,7,6,2,4,20,15,225,225
04903651,0,0,16,1,5,,2,2,10,10,2,2,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,-.096149743,2,2,10,10,2,2,10,5,25,25
04903700,1,1,17,5,,5,.5,3,1,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5,-1.8331639,.5,3,1,3,2,2,1,5,25,25
04903880,0,1,13,3,3,,1.5,2.2,6,3.2,5,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,3,1.6408644,1.5,2.2,6,3.2,5,5,5,3,9,9
04904090,0,0,26,2,0,,0,3,5,5,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,0,1.6408644,0,3,5,5,,,5,0,0,0
04904586,1,0,13,2,,8,1.2,1,1.4,1.3,5,1.2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,-.096149743,1.2,1,1.4,1.3,5,1.2,1,8,64,64
04904658,0,1,13,4,30,,10,3,15,15,15,15,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,-.096149743,10,3,15,15,15,15,25,30,900,900
04905022,1,1,17,3,,100,0,100,100,100,0,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,100,-.096149743,0,,,,,,1,,10000,
